vtd_2020,vtd_2024,percent_intersection
2400103-000,2400103-000,0.998515364
2400131-000,2400131-000,0.9984707217416235
2400108-000,2400108-000,0.9943728583439543
2400124-000,2400124-000,0.9938114030513203
2400101-000,2400101-000,0.9998063922765753
2400102-000,2400102-000,0.998546726
2400121-000,2400121-000,0.9964441834951038
2400120-000,2400120-000,0.9964331560690507
2400123-000,2400122-000,0.010023020460757466
2400123-000,2400123-000,0.9809419360719331
2400134-000,2400134-000,0.9931635206996565
2400112-000,2400112-000,0.9872527028164603
2400116-000,2400116-002,0.019097390843755793
2400116-000,2400116-001,0.976069038
2400111-000,2400111-000,0.9778108392307061
2400111-000,2400113-000,0.021032966778017678
2400126-000,2400126-000,0.9887470537003895
2400114-000,2400122-000,0.010698049311788025
2400114-000,2400105-000,0.024773855216334052
2400114-000,2400114-000,0.9271583889593668
2400114-000,2400123-000,0.037369706
2400110-000,2400110-000,0.9930223723141872
2400113-000,2400113-000,0.9962579909689993
2400109-000,2400109-000,0.9935346500698464
2400106-003,2400106-005,0.9977443745279692
2400107-001,2400107-001,0.9966100689631525
2400104-002,2400122-000,0.010623896610379225
2400104-002,2400104-000,0.9855333624412262
2400104-004,2400122-000,0.011732133068109761
2400104-004,2400104-000,0.9786885719238522
2400104-003,2400104-000,1
2400104-005,2400104-000,0.9983274611399233
2400104-008,2400116-002,0.016974370509772126
2400104-008,2400104-000,0.9823542316907505
2400105-004,2400105-000,0.9889199500211919
2400105-004,2400123-000,0.010451677203085498
2400105-006,2400105-000,0.9941817123609273
2400106-006,2400106-006,0.994470407
2400106-005,2400106-005,0.994683357
2400106-001,2400114-000,0.017921481245012402
2400106-001,2400106-005,0.9784141273960545
2400107-002,2400107-002,0.9881263951338566
2400118-000,2400118-000,0.9840810110735903
2400118-000,2400124-000,0.012290885137204197
2400122-001,2400122-000,0.9928817624230637
2400122-002,2400122-000,0.9698826848679344
2400122-002,2400134-000,0.015789686554981593
2400122-002,2400121-000,0.014327624
2400129-001,2400129-001,0.9905045191772064
2400129-002,2400129-002,0.9885700275924879
2400129-003,2400129-003,0.9897538512938263
2400301-010,2400301-010,0.999130803
2400301-001,2400301-001,0.9992539335068865
2400301-007,2400301-007,0.9999926211763593
2400301-002,2400301-002,0.9848804518215304
2400301-002,2400301-007,0.014644686458216327
2400301-008,2400301-008,0.9992770225380494
2400301-009,2400301-009,0.9996627089301708
2400301-004,2400301-004,0.9998099744143848
2400301-018,2400301-018,0.9996094460400413
2400301-012,2400301-012,0.9989729242333222
2400301-003,2400301-003,0.9991752273095684
2400301-006,2400301-007,0.122223757
2400301-006,2400301-006,0.8777071190919127
2400301-014,2400301-014,0.967760033
2400301-014,2400301-018,0.031242157184012388
2400301-017,2400301-017,0.9995640046911959
2400301-023,2400301-022,0.1002623762035493
2400301-023,2400301-023,0.8995159279490454
2400301-024,2400301-024,0.998777979
2400301-019,2400301-019,0.998435632
2400301-025,2400301-025,0.9999067769222874
2400301-013,2400301-013,0.9997920658238452
2400301-011,2400301-002,0.02696648
